zeit	luftfeuchte	Temperatur	Druck
23:29:38	  000046.7	  000016.1	  000986.9
23:30:38	  000046.7	  000016.1	  000986.9
23:31:38	  000046.7	  000016.1	  000986.8
23:32:38	  000046.7	  000016.2	  000986.8
23:33:38	  000046.7	  000016.1	  000986.8
23:34:38	  000046.7	  000016.2	  000986.8
23:35:38	  000046.7	  000016.1	  000986.8
23:36:38	  000046.7	  000016.1	  000986.6
23:37:38	  000046.7	  000016.2	  000986.7
23:38:38	  000046.7	  000016.1	  000986.8
23:39:38	  000046.7	  000016.2	  000986.8
23:40:38	  000046.7	  000016.1	  000986.6
23:41:38	  000046.7	  000016.2	  000986.6
23:42:38	  000046.7	  000016.2	  000986.6
23:43:38	  000046.7	  000016.2	  000986.6
23:44:38	  000046.7	  000016.1	  000986.6
23:45:38	  000046.7	  000016.2	  000986.6
23:46:38	  000046.7	  000016.1	  000986.5
23:47:38	  000046.7	  000016.1	  000986.6
23:48:38	  000046.7	  000016.1	  000986.5
23:49:38	  000046.7	  000016.1	  000986.4
23:50:38	  000046.7	  000016.1	  000986.5
23:51:38	  000046.7	  000016.1	  000986.4
23:52:38	  000046.7	  000016.1	  000986.4
23:53:38	  000046.7	  000016.1	  000986.4
23:54:38	  000046.7	  000016.1	  000986.3
23:55:38	  000046.7	  000016.2	  000986.3
23:56:38	  000046.7	  000016.1	  000986.4
23:57:38	  000046.7	  000016.1	  000986.2
23:58:38	  000046.7	  000016.1	  000986.3
23:59:38	  000046.7	  000016.1	  000986.3
00:00:38	  000046.7	  000016.1	  000986.1
00:01:38	  000046.7	  000016.1	  000986.2
00:02:38	  000046.7	  000016.1	  000986.2
00:03:38	  000046.7	  000016.1	  000986.3
00:04:38	  000046.7	  000016.1	  000986.1
00:05:38	  000046.7	  000016.1	  000986.1
00:06:38	  000046.7	  000016.1	  000986.1
00:07:38	  000046.7	  000016.1	  000986.1
00:08:38	  000046.7	  000016.1	  000986.1
00:09:38	  000046.7	  000016.1	  000986.1
00:10:38	  000046.7	  000016.1	  000986.1
00:11:38	  000046.7	  000016.1	  000986.1
00:12:38	  000046.7	  000016.2	  000986.0
00:13:38	  000046.7	  000016.1	  000986.0
00:14:38	  000046.7	  000016.1	  000986.0
00:15:38	  000046.7	  000016.1	  000986.0
00:16:38	  000046.7	  000016.1	  000986.0
00:17:38	  000046.7	  000016.1	  000986.0
00:18:38	  000046.7	  000016.1	  000986.0
00:19:38	  000046.7	  000016.1	  000985.9
00:20:38	  000046.7	  000016.2	  000986.0
00:21:38	  000046.7	  000016.1	  000985.8
00:22:38	  000046.7	  000016.1	  000986.0
00:23:38	  000046.7	  000016.1	  000986.0
00:24:38	  000046.7	  000016.2	  000985.9
00:25:38	  000046.7	  000016.1	  000985.7
00:26:38	  000046.7	  000016.1	  000985.8
00:27:38	  000046.7	  000016.1	  000985.8
00:28:38	  000046.7	  000016.1	  000985.8
00:29:38	  000046.7	  000016.1	  000985.7
00:30:38	  000046.7	  000016.1	  000985.7
00:31:38	  000046.7	  000016.1	  000985.6
00:32:38	  000046.7	  000016.1	  000985.8
00:33:38	  000046.7	  000016.1	  000985.6
00:34:38	  000046.7	  000016.1	  000985.6
00:35:38	  000046.7	  000016.1	  000985.5
00:36:38	  000046.7	  000016.1	  000985.6
00:37:38	  000046.7	  000016.1	  000985.6
00:38:38	  000046.7	  000016.1	  000985.5
00:39:38	  000046.7	  000016.1	  000985.6
00:40:38	  000046.7	  000016.1	  000985.5
00:41:38	  000046.7	  000016.1	  000985.5
00:42:38	  000046.7	  000016.1	  000985.5
00:43:38	  000046.7	  000016.1	  000985.5
00:44:38	  000046.7	  000016.1	  000985.5
00:45:38	  000046.7	  000016.1	  000985.5
00:46:38	  000046.7	  000016.1	  000985.5
00:47:38	  000046.7	  000016.1	  000985.6
00:48:38	  000046.7	  000016.1	  000985.5
00:49:38	  000046.7	  000016.1	  000985.6
00:50:38	  000046.7	  000016.1	  000985.5
00:51:38	  000046.7	  000016.1	  000985.4
00:52:38	  000046.7	  000016.1	  000985.5
00:53:38	  000046.7	  000016.1	  000985.5
00:54:38	  000046.7	  000016.1	  000985.5
00:55:38	  000046.7	  000016.1	  000985.5
00:56:38	  000046.7	  000016.1	  000985.4
00:57:38	  000046.7	  000016.1	  000985.4
00:58:38	  000046.7	  000016.1	  000985.4
00:59:38	  000046.7	  000016.1	  000985.5
01:00:38	  000046.7	  000016.1	  000985.5
01:01:38	  000046.7	  000016.1	  000985.5
01:02:38	  000046.7	  000016.1	  000985.4
01:03:38	  000046.6	  000016.1	  000985.4
01:04:38	  000046.7	  000016.1	  000985.4
01:05:38	  000046.7	  000016.1	  000985.3
01:06:38	  000046.7	  000016.1	  000985.4
